imdb_title_id,total_votes,mean_vote
tt0016294,126,6.7
tt0016308,483,6.8
tt0016309,132,4.2
tt0016310,322,6.7
tt0016332,8943,7.8
tt0016338,113,6.2
tt0016377,112,7
tt0016392,219,6.4
tt0016394,831,8
tt0016395,277,7.4
tt0016461,538,7
tt0016473,1613,7.3
tt0016480,288,7
tt0016481,1022,7.5
tt0016491,693,7.4
tt0016493,152,6.9
tt0016544,1395,5.4
tt0016545,242,5.9
tt0016548,123,7.2
tt0016559,111,7
tt0016560,609,8.3
tt0016563,123,6.9
tt0016627,1050,7.7
tt0016629,678,6.7
tt0016630,2820,7.1
tt0016634,338,7.2
tt0016640,354,6.6
tt0016643,217,6.5
tt0016646,451,8.3
tt0016654,1656,7.1
tt0016655,618,6.9
tt0016664,139,5.6
tt0016669,1427,7.9
tt0016672,438,5.2
tt0016690,1402,8.2
tt0016691,117,6.8
tt0016762,142,7
tt0016804,728,7.2
tt0016822,888,7.9
tt0016827,120,7.3
tt0016832,399,7.2
tt0016847,13588,7.8
tt0016854,208,6.6
tt0016871,770,8
tt0016884,3901,8
tt0016895,1401,7.5
tt0016914,632,6.9
tt0016939,270,6.5
tt0016947,213,7
tt0016953,675,6.7
tt0016971,127,6.3
tt0017004,245,6.6
tt0017028,130,7
tt0017029,399,7.3
tt0017048,2758,7.5
tt0017075,10024,7.4
tt0017082,200,7.2
tt0017096,430,6.8
tt0017103,545,6.8
tt0017119,309,7.1
tt0017120,315,7.1
tt0017128,2442,7.6
tt0017136,156076,8.1
tt0017159,263,7
tt0017184,101,6
tt0017195,109,7.1
tt0017196,682,6.9
tt0017198,227,7.4
tt0017226,185,6.9
tt0017271,919,7.3
tt0017293,127,7.2
tt0017329,150,7
tt0017338,103,6.3
tt0017350,1542,7.7
tt0017354,136,6.7
tt0017374,126,5.8
tt0017378,283,6.8
tt0017382,245,7.1
tt0017409,317,7.3
tt0017410,167,6.7
tt0017416,1788,7.4
tt0017419,206,7.2
tt0017423,1148,7.5
tt0017437,766,6.8
tt0017438,573,7.2
tt0017448,1945,7.2
tt0017449,1066,7
tt0017463,1010,7.5
tt0017480,691,7.1
tt0017483,604,6.1
tt0017519,122,6.8
tt0017534,1722,7.9
tt0017540,347,7.2
tt0017567,690,7.3
tt0017619,339,7.4
tt0017621,285,6.3
tt0017632,355,7.5
tt0017653,196,7.2
tt0017662,186,7.2
tt0017667,701,7.5
tt0017726,106,6.7
tt0017735,228,7.4
tt0017736,171,7.1
tt0017739,2654,7.2
tt0017750,374,7.3
tt0017751,213,6.7
tt0017765,4268,7.1
tt0017809,599,7.3
tt0017825,2082,6.2
tt0017832,206,6.9
tt0017843,2465,5.7
tt0017860,710,8.1
tt0017886,193,6.5
tt0017918,284,7.2
tt0017925,78769,8
tt0017928,162,6.8
tt0017938,759,7.1
tt0017961,919,7.5
tt0017998,237,7.4
tt0018014,210,6.9
tt0018016,185,6.7
tt0018033,2912,7.5
tt0018037,8866,6.8
tt0018045,263,7
tt0018051,3747,7.5
tt0018054,1890,7.4
tt0018066,1494,7.4
tt0018087,660,7.5
tt0018097,1161,7.1
tt0018102,431,6.5
tt0018107,885,7.4
tt0018113,764,7.9
tt0018138,356,7.8
tt0018166,390,7
tt0018179,525,6.7
tt0018183,787,7.6
tt0018192,6864,7.4
tt0018217,6877,7.4
tt0018218,316,6.5
tt0018235,119,7
tt0018247,110,6.7
tt0018253,468,7.6
tt0018268,103,6.4
tt0018297,733,8
tt0018311,1342,8
tt0018328,3088,6.2
tt0018351,188,7.1
tt0018362,327,6.2
tt0018379,3098,7.6
tt0018389,141,5.7
tt0018392,352,7.2
tt0018397,498,7
tt0018413,481,7.8
tt0018440,884,7.7
tt0018451,1335,7.8
tt0018453,103,6.5
tt0018455,46069,7.9
tt0018464,126,5.4
tt0018471,1422,7.9
tt0018484,105,6.7
tt0018487,465,8
tt0018505,1034,7.4
tt0018513,551,7.7
tt0018515,888,6.8
tt0018523,761,6.9
tt0018524,379,6.9
tt0018526,2545,7.5
tt0018528,6992,7.6
tt0018530,248,6.3
tt0018566,308,7.2
tt0018578,11139,7.7
tt0018579,105,3.2
tt0018588,200,6.8
tt0018600,106,6.4
tt0018615,291,7.1
tt0018618,948,7.3
tt0018678,395,6.7
tt0018684,945,7.7
tt0018722,134,7.2
tt0018737,9541,7.8
tt0018742,10101,8.1
tt0018749,810,8.1
tt0018756,1968,5.7
tt0018770,3369,7.3
tt0018773,27414,7.9
tt0018795,614,7.8
tt0018826,149,7
tt0018836,336,7.2
tt0018839,3860,7.6
tt0018841,561,7.4
tt0018862,121,6.8
tt0018876,2434,6.1
tt0018879,151,6
tt0018882,152,7
tt0018907,134,7.1
tt0018908,261,7.1
tt0018909,623,7.1
tt0018910,307,7
tt0018927,341,7
tt0018935,234,6.8
tt0018937,630,6.7
tt0018972,394,6.6
tt0018990,154,7.1
tt0018996,116,6.2
tt0019043,305,7.1
tt0019067,402,7.1
tt0019071,3282,7.8
tt0019074,1684,7.6
tt0019096,735,7.1
tt0019098,636,7.9
tt0019109,1982,7.9
tt0019127,174,7
tt0019130,5711,7.7
tt0019151,510,6.9
tt0019152,343,6.9
tt0019182,116,5.6
tt0019186,176,6.7
tt0019195,1151,7.3
tt0019237,1501,7.3
tt0019254,45823,7.8
tt0019258,2330,8.1
tt0019286,1803,7.2
tt0019290,228,6.5
tt0019304,1099,6.9
tt0019312,102,6.9
tt0019325,168,6
tt0019335,123,3.3
tt0019344,2519,7.9
tt0019374,229,7
tt0019379,3458,8.1
tt0019388,206,6.5
tt0019400,976,7.9
tt0019412,3178,7.7
tt0019415,3062,7.6
tt0019421,12809,7.9
tt0019429,2090,7.5
tt0019434,239,7.3
tt0019451,347,7
tt0019462,227,7.2
tt0019480,213,6.5
tt0019489,353,7
tt0019509,413,7.4
tt0019532,346,6.7
tt0019553,131,6.7
tt0019557,376,6.7
tt0019558,1508,7.4
tt0019563,1582,7.3
tt0019571,151,7.3
tt0019574,756,7
tt0019585,5980,8.1
tt0019591,1355,7.6
tt0019609,116,7.1
tt0019611,819,7.2
tt0019629,188,7.1
tt0019630,661,6
tt0019644,1266,7.3
tt0019646,854,7.6
tt0019649,1805,7.3
tt0019655,1328,7.2
tt0019658,187,5.7
tt0019684,386,5
tt0019690,203,5.7
tt0019699,258,6
tt0019702,9412,7
tt0019725,339,6.9
tt0019726,119,6.8
tt0019729,6327,6.3
tt0019735,839,6.6
tt0019745,539,6.3
tt0019746,169,6.8
tt0019777,6900,7.2
tt0019785,332,6.4
tt0019788,1983,7.1
tt0019796,390,6.5
tt0019798,261,7.6
tt0019800,110,6.2
tt0019811,1074,8.1
tt0019815,104,6.7
tt0019823,1034,6.4
tt0019824,651,6.3
tt0019839,116,2.9
tt0019843,382,7.2
tt0019850,481,7.3
tt0019852,445,7
tt0019856,132,7.1
tt0019884,255,6.1
tt0019886,232,6.8
tt0019889,106,6.3
tt0019901,2899,7.3
tt0019909,132,7.2
tt0019929,115,6.9
tt0019933,621,7.3
tt0019935,687,7.3
tt0019936,143,7.3
tt0019939,103,6.4
tt0019945,117,5.6
tt0019946,694,6.4
tt0019949,285,6.9
tt0019957,112,5.8
tt0019959,1521,6.9
tt0019976,520,7.2
tt0019979,117,5.3
tt0019983,289,5.4
tt0019992,134,6
tt0019993,1827,7.5
tt0020004,310,6.8
tt0020011,110,6.4
tt0020014,118,6.2
tt0020018,898,5.7
tt0020025,178,7.1
tt0020030,1139,7.4
tt0020034,269,8.3
tt0020062,938,7
tt0020075,214,7.3
tt0020078,317,6.8
tt0020080,441,7.1
tt0020081,381,6.2
tt0020092,619,6.8
tt0020099,100,7
tt0020103,429,6.2
tt0020112,1924,7.2
tt0020114,169,6.8
tt0020122,1144,7.8
tt0020126,431,6.1
tt0020142,2555,6.4
tt0020143,1148,8.2
tt0020144,385,8
tt0020163,2649,7.4
tt0020166,151,5.9
tt0020182,111,7.2
tt0020193,246,7
tt0020197,187,6.9
tt0020198,562,6.2
tt0020210,528,7.7
tt0020217,169,6.3
tt0020223,656,6.7
tt0020228,143,6.9
tt0020230,726,6.9
tt0020232,332,7.1
tt0020238,259,6.3
tt0020247,603,6
tt0020253,315,7.1
tt0020269,1353,7.2
tt0020286,710,6.6
tt0020293,181,7
tt0020298,3049,7.8
tt0020305,353,5.5
tt0020320,157,7
tt0020332,691,7.8
tt0020335,524,7.4
tt0020336,204,6.6
tt0020344,102,7
tt0020358,304,6.5
tt0020359,156,5.5
tt0020364,191,6.3
tt0020388,267,6.3
tt0020392,116,6.5
tt0020402,245,6.4
tt0020403,367,6.4
tt0020405,183,6.9
tt0020410,489,6.9
tt0020425,200,5.7
tt0020431,138,4.6
tt0020439,602,7.6
tt0020442,1811,7.2
tt0020446,328,4.8
tt0020451,1296,7.3
tt0020458,337,7.2
tt0020461,115,5.9
tt0020466,358,7
tt0020475,3996,7.7
tt0020479,511,7
tt0020480,135,5.8
tt0020488,559,6
tt0020490,143,6.1
tt0020492,522,5.9
tt0020499,501,6.8
tt0020502,170,6.3
tt0020510,261,6.6
tt0020514,1232,7.8
tt0020516,105,7.1
tt0020534,197,6
tt0020538,475,5.4
tt0020542,198,5.4
tt0020543,315,6.5
tt0020547,112,7.1
tt0020556,661,7
tt0020563,474,6.6
tt0020570,882,7.3
tt0020572,669,6.3
tt0020581,487,6.8
tt0020585,359,7.2
tt0020589,578,6.8
tt0020590,408,6.6
tt0020608,216,7.2
tt0020613,263,6.5
tt0020620,1308,5.9
tt0020629,56356,7.9
tt0020640,13341,7.6
tt0020641,2760,6.9
tt0020642,775,7.1
tt0020656,382,7.2
tt0020661,106,5.6
tt0020668,828,6.6
tt0020670,161,6
tt0020673,175,5.5
tt0020679,280,6.5
tt0020686,1849,7.2
tt0020690,209,5.9
tt0020691,3312,7.3
tt0020693,347,6.3
tt0020695,600,6.2
tt0020697,13311,7.7
tt0020701,410,6.2
tt0020702,322,5.5
tt0020713,242,6.3
tt0020724,117,6.4
tt0020740,122,4.7
tt0020754,112,6.4
tt0020758,339,5.9
tt0020763,117,6.2
tt0020768,2842,7.7
tt0020785,104,5.7
tt0020793,989,7.7
tt0020799,210,6.4
tt0020806,465,6.5
tt0020814,189,7
tt0020815,1602,7.7
tt0020821,523,6.7
tt0020823,146,6.2
tt0020827,2705,6.9
tt0020828,325,5.5
tt0020836,947,6.6
tt0020838,392,6
tt0020842,734,6.8
tt0020852,341,5.6
tt0020866,101,5.9
tt0020869,151,5.4
tt0020873,131,6.5
tt0020875,439,6.8
tt0020876,947,6.9
tt0020890,159,6.6
tt0020891,1249,8
tt0020894,200,7.2
tt0020896,327,6.5
tt0020900,191,6.2
tt0020902,814,5.7
tt0020919,805,7.5
tt0020924,157,6.1
tt0020926,122,5.2
tt0020929,323,7.5
tt0020938,347,5.4
tt0020945,303,6.4
tt0020949,121,7
tt0020959,146,5.6
tt0020960,4748,7.7
tt0020966,229,6.6
tt0020980,480,6.5
tt0020985,352,6.6
tt0020987,299,6.3
tt0021001,113,5.5
tt0021013,229,7
tt0021016,630,5.7
tt0021025,1039,7.3
tt0021040,1038,6.8
tt0021042,151,6.1
tt0021044,145,6.6
tt0021048,129,5.5
tt0021053,279,6.7
tt0021060,416,6.7
tt0021061,114,6.6
tt0021069,128,5.7
tt0021070,132,7.3
tt0021074,399,6.7
tt0021079,11746,7.3
tt0021087,371,6.2
tt0021090,124,5.6
tt0021092,227,5.7
tt0021094,142,5.4
tt0021100,162,5.7
tt0021102,112,6.4
tt0021106,838,6.6
tt0021110,164,6.3
tt0021121,191,7.3
tt0021128,654,6.3
tt0021132,153,5.8
tt0021133,233,5.1
tt0021134,196,5.1
tt0021140,218,6
tt0021148,1547,7.2
tt0021149,398,5.8
tt0021152,422,4.9
tt0021153,1109,7
tt0021156,5443,7.2
tt0021165,5651,6.4
tt0021178,138,6.3
tt0021189,990,7.9
tt0021191,241,5.5
tt0021197,386,6.3
tt0021216,117,6.2
tt0021217,378,6.7
tt0021223,588,6.2
tt0021224,138,6
tt0021225,454,6.8
tt0021228,606,6.3
tt0021232,249,6.4
tt0021239,195,5.8
tt0021240,239,6.9
tt0021247,157,7.2
tt0021263,180,6.7
tt0021268,188,7.5
tt0021273,515,7.2
tt0021276,115,6.3
tt0021280,103,5.7
tt0021281,762,6.8
tt0021282,342,5.9
tt0021283,381,6.5
tt0021287,340,6
tt0021292,486,7.6
tt0021294,592,7.3
tt0021295,217,5
tt0021297,154,6.8
tt0021303,108,5.5
tt0021304,157,5.8
tt0021307,116,6.2
tt0021309,1135,7.4
tt0021310,680,6.1
tt0021322,293,6.5
tt0021324,208,5.2
tt0021331,5834,7.4
tt0021335,202,5.9
tt0021345,181,5.6
tt0021365,101,5.3
tt0021371,238,6.9
tt0021374,409,6.3
tt0021376,245,5.6
tt0021377,475,6.4
tt0021381,534,6.5
tt0021382,182,6.3
tt0021394,142,6.2
tt0021400,146,5.8
tt0021401,142,5.6
tt0021406,656,7
tt0021408,334,6
tt0021409,1971,7.3
tt0021413,239,7.3
tt0021420,197,6.9
tt0021435,113,5.6
tt0021439,114,5.4
tt0021463,117,6.8
tt0021464,212,6.3
tt0021472,128,5.8
tt0021483,160,6.6
tt0021484,106,7.2
tt0021486,172,6.2
tt0021492,103,7
tt0021493,254,5.8
tt0021505,1056,6.9
tt0021508,1036,6
tt0021511,113,6.1
tt0021525,117,5.9
tt0021531,233,6.3
tt0021533,688,8
tt0021534,548,7.7
tt0021542,1610,7.4
tt0021549,941,7.8
tt0021550,151,6.1
tt0021551,349,6.8
tt0021568,146,6.2
tt0021571,4949,7.4
tt0021577,12551,7.4
tt0021580,269,7
tt0021594,106,7.3
tt0021595,223,6.2
tt0021599,116,5.4
tt0021606,120,6.4
tt0021607,644,6.6
tt0021615,186,6.1
tt0021622,1493,6.2
tt0021632,342,6.5
tt0021633,1041,8
tt0021635,1081,6.6
tt0021636,988,6.7
tt0021647,474,7.1
tt0021649,372,6.3
tt0021653,103,7
tt0021654,591,6.9
tt0021657,240,6
tt0021659,107,6
tt0021668,1301,7.3
tt0021673,1561,7.2
tt0021681,111,6
tt0021684,222,5.8
tt0021695,100,6.2
tt0021697,251,6.1
tt0021707,136,6.4
tt0021725,187,6.7
tt0021730,2741,7.3
tt0021732,154,6.6
tt0021733,474,8
tt0021735,442,6.5
tt0021739,3628,7.4
tt0021743,109,4.9
tt0021746,5304,6
tt0021749,162668,8.3
tt0021750,1330,7.2
tt0021754,171,7
tt0021756,219,6.1
tt0021759,280,6.7
tt0021761,416,6.2
tt0021764,174,5.9
tt0021768,225,6.5
tt0021770,895,7
tt0021772,149,5.9
tt0021775,100,6.4
tt0021778,805,6.3
tt0021780,843,7.9
tt0021785,366,6.3
tt0021786,119,6.3
tt0021793,188,6
tt0021798,174,6.2
tt0021799,542,6.4
tt0021807,126,6.3
tt0021814,45054,7.6
tt0021815,3901,7.2
tt0021818,1939,7.4
tt0021820,216,5.9
tt0021825,444,6.3
tt0021826,136,6.4
tt0021828,169,5.7
tt0021829,149,6.2
tt0021836,548,7.2
tt0021840,131,6.1
tt0021845,188,5.8
tt0021847,111,7
tt0021859,112,5.6
tt0021861,520,6
tt0021864,221,6.3
tt0021865,396,6
tt0021873,1758,7.4
tt0021874,1263,8
tt0021879,206,5.9
tt0021884,63315,7.8
tt0021885,2225,6.8
tt0021889,298,5.4
tt0021890,2348,6.9
tt0021895,128,6
tt0021900,129,5.1
tt0021906,731,7.4
tt0021910,545,7.7
tt0021917,316,5.2
tt0021919,162,6
tt0021927,154,6
tt0021928,118,6.7
tt0021931,456,6.6
tt0021932,237,6.8
tt0021933,648,7.2
tt0021952,168,6.3
tt0021963,129,6.2
tt0021966,195,5.5
tt0021969,171,6.9
tt0021973,143,6.3
tt0021978,159,7
tt0021985,1404,7.6
tt0021986,212,5.6
tt0021988,148,6.3
tt0021992,832,6.2
tt0022000,1336,7.8
tt0022001,464,6.5
tt0022002,213,6.3
tt0022017,1213,7.6
tt0022021,425,6
tt0022026,296,7.3
tt0022029,134,6.9
tt0022034,461,7.2
tt0022042,107,6.2
tt0022043,130,6.2
tt0022046,258,6
tt0022048,348,6.6
tt0022054,1212,7.8
tt0022056,202,5.9
tt0022059,576,5.5
tt0022074,3148,7.7
tt0022080,1804,7.3
tt0022085,183,6.4
tt0022086,343,6.5
tt0022100,139271,8.1
tt0022103,554,6.6
tt0022105,163,6.6
tt0022111,2692,7.3
tt0022117,271,7.2
tt0022119,682,6.4
tt0022120,134,5.4
tt0022121,163,6.4
tt0022125,1938,7.4
tt0022134,234,6
tt0022135,144,5.7
tt0022139,119,6.7
tt0022149,554,6.4
tt0022150,3140,7.5
tt0022151,430,7.2
tt0022153,1808,7.3
tt0022158,11207,7.6
tt0022172,322,5.7
tt0022173,251,6.3
tt0022177,159,5.8
tt0022178,139,6.8
tt0022180,206,5.7
tt0022183,2432,7.6
tt0022185,162,7.3
tt0022191,361,5.9
tt0022197,157,5.7
tt0022198,412,8.1
tt0022204,105,6.7
tt0022208,3212,7.1
tt0022214,104,6.9
tt0022215,183,7.2
tt0022223,330,6.2
tt0022235,165,6.9
