imdb_title_id,genre
tt0011588,"Family, Comedy, Drama"
tt0011607,"Comedy, Drama, Horror"
tt0011623,Drama
tt0011641,Comedy
tt0011647,"Comedy, Western"
tt0011652,Comedy
tt0011679,Drama
tt0011716,Drama
tt0011723,Adventure
tt0011741,"Comedy, Drama, Romance"
tt0011742,"Adventure, Drama, Romance"
tt0011753,Mystery
tt0011779,"Adventure, Drama, Western"
tt0011833,"Drama, Thriller"
tt0011837,Romance
tt0011841,"Drama, Romance"
tt0011865,"Comedy, Drama"
tt0011870,"Drama, Romance"
tt0011904,"Crime, Drama, Mystery"
tt0011908,"Action, Adventure"
tt0011909,"Comedy, Drama"
tt0011948,Comedy
tt0011960,"Comedy, Drama, Romance"
tt0011979,"Drama, Romance"
tt0012016,"Adventure, Fantasy, Romance"
tt0012027,"Drama, Romance"
tt0012068,"Drama, Romance"
tt0012122,"Comedy, Drama, Romance"
tt0012125,"Comedy, Romance"
tt0012134,Drama
tt0012136,Comedy
tt0012187,Drama
tt0012190,"Drama, Romance, War"
tt0012249,Drama
tt0012281,Drama
tt0012313,"Adventure, Fantasy"
tt0012314,"Adventure, Fantasy"
tt0012334,Drama
tt0012349,"Comedy, Drama, Family"
tt0012364,"Drama, Fantasy, Horror"
tt0012382,Comedy
tt0012397,Drama
tt0012408,Drama
tt0012465,"Comedy, Drama"
tt0012486,"Comedy, Drama"
tt0012494,"Drama, Fantasy, Thriller"
tt0012513,"Action, Comedy, Romance"
tt0012532,"Drama, History, Romance"
tt0012538,"Crime, Romance, Thriller"
tt0012631,Drama
tt0012642,Comedy
tt0012645,Drama
tt0012650,Drama
tt0012651,"Crime, Drama, Horror"
tt0012675,"Adventure, Drama, Romance"
tt0012699,Drama
tt0012745,Drama
tt0012752,"Action, Adventure, Romance"
tt0012755,"Comedy, Drama"
tt0012763,Drama
tt0012769,Drama
tt0012806,Drama
tt0012928,"Drama, Romance"
tt0012938,"Drama, Romance"
tt0012952,"Drama, Romance, Sport"
tt0012973,Drama
tt0012975,Romance
tt0013033,Drama
tt0013059,"Drama, Family, Fantasy"
tt0013075,"Comedy, Romance"
tt0013085,"Adventure, Drama, Romance"
tt0013122,Drama
tt0013134,Drama
tt0013140,"Drama, Thriller"
tt0013169,Drama
tt0013201,"Comedy, Family"
tt0013223,"Comedy, Drama, Horror"
tt0013332,"Drama, Romance"
tt0013367,Mystery
tt0013372,Drama
tt0013386,Drama
tt0013402,"Drama, Romance"
tt0013404,Adventure
tt0013428,"Drama, History"
tt0013442,"Fantasy, Horror"
tt0013450,Drama
tt0013469,"Drama, Romance"
tt0013496,"Drama, Romance"
tt0013515,"Adventure, Romance"
tt0013556,"Adventure, Family, Romance"
tt0013571,"Biography, Drama, History"
tt0013574,"Comedy, Romance"
tt0013579,"Drama, Fantasy, Horror"
tt0013590,"Drama, Romance"
tt0013592,Drama
tt0013597,"Drama, Mystery"
tt0013607,"Action, Drama, Romance"
tt0013619,Drama
tt0013662,"Drama, Romance"
tt0013674,"Action, Adventure, Comedy"
